2026-07-23 12:33:33,034 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:33:33,184 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:33:33,194 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:33:33,216 | INFO     | admin.py | assign_team | Line 175 | Admin assign team page arrived
2026-07-23 12:33:33,299 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:33:33,305 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:39:34,129 | INFO     | main.py | home | Line 35 | Home page arrived
2026-07-23 12:45:44,654 | INFO     | auth.py | register | Line 136 | Register post page arrived
2026-07-23 12:45:59,268 | INFO     | auth.py | register | Line 136 | Register post page arrived
2026-07-23 12:45:59,875 | INFO     | auth.py | register | Line 136 | Register post page arrived
2026-07-23 12:46:00,485 | INFO     | auth.py | register | Line 136 | Register post page arrived
2026-07-23 12:46:00,629 | INFO     | auth.py | register | Line 136 | Register post page arrived
2026-07-23 12:46:00,748 | INFO     | auth.py | register | Line 136 | Register post page arrived
2026-07-23 12:46:00,951 | INFO     | auth.py | register | Line 136 | Register post page arrived
2026-07-23 12:46:56,169 | INFO     | auth.py | register | Line 136 | Register post page arrived
2026-07-23 12:50:37,196 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:50:37,208 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:50:44,545 | INFO     | auth.py | login | Line 46 | Login post page arrived
2026-07-23 12:50:44,656 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:50:44,663 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:54:05,012 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:54:05,018 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:54:29,363 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:54:29,370 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:54:29,398 | INFO     | admin.py | create_employee | Line 74 | Admin create employee page arrived
2026-07-23 12:54:29,401 | ERROR    | admin.py | create_employee | Line 108 | Admin create employee page failed
2026-07-23 12:55:27,643 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:55:27,662 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:55:27,693 | INFO     | admin.py | create_employee | Line 74 | Admin create employee page arrived
2026-07-23 12:55:27,697 | ERROR    | admin.py | create_employee | Line 108 | Admin create employee page failed
2026-07-23 12:55:28,824 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:55:28,830 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
